,Name,Year,Height,Hometown/HS,Team
374,Mikaela  Foecke,Jr,6'3,"West Point, Ia",Nebraska
375,Sami Slaughter,Fr,6'1,"Harrisburg, S.D.",Nebraska
376,Alexis  Morrow,R-Fr,5'10,"Redwood City, Ca",LMU
377,Bozena Culo,So,6'2,"Bjelovar, Croatia",LMU
378,Chloe Reinig,GS,6'4,"Howell, Mi",LMU
379,Cierra Simpson,GS,6'0,"Colorado Springs, Co",LMU
380,Emma Johnson,So,6'0,"Moraga, Ca",LMU
381,Emma Doud,So,5'9,"Alameda, Ca",LMU
382,Jessie Prichard,So,5'9,"Corona, Ca",LMU
383,Kekai Whitford,Jr,5'8,"Costa Mesa, Ca",LMU
384,Kristen Castellanos,Sr,5'1,"Los Angeles, Ca",LMU
385,Maddie  Leiphardt,GS,5'9,"Goleta, Ca",LMU
386,McKayla Ferris,GS,6'0,"Geneseo, N.Y.",LMU
387,Megan  Rice,So,6'0,"Hermosa Beach, Ca",LMU
388,Meredith Teague,Fr,6'2,"Monroe, Wa",LMU
389,Morgan Bogust,Fr,5'9,"Thousand Oaks, Ca",LMU
390,Paige Panter,So,5'10,"Dallas, Tx",LMU
391,Sara Kovac,Jr,6'0,"Niagra Falls, Ontario, Can",LMU
392,Savannah  Slattery,So,5'11,"Malibu, Ca",LMU
393,Sierra  Bartley,Fr,6'2,"Littleton, Co",LMU
394,Veronica Nederend,Jr,5'11,"Tipton, Ca",LMU
395,Brindl Langley,R-Sr,5'7,"Camas,Wa",Boise State
396,Cassedi Simon,So,5'4,"West Liberty, Iowa",Boise State
397,Cat Clemens,Fr,6'0,"Burns, Or",Boise State
398,Celine Christensen,So,6'3,"Salem, Utah",Boise State
399,Drew Hanneman,Fr,5'5,"Flagstaff, Az",Boise State
400,Janell Walley,So,5'11,"Yucaipa, Ca",Boise State
401,Jaymee-Lee Bulda,Sr,5'5,"Sacramento, Ca",Boise State
402,Jensen Allen,So,5'10,"Brea, Ca",Boise State
403,Kenna Hanses,So,6'0,"Renton, Wa",Boise State
404,Keri Leake,Fr,6'1,"Clovis, Ca",Boise State
405,Kiley Lewis,Fr,6'2,"Auburn, Wa",Boise State
406,Kylee Johnson,Fr,5'6,"New Braunfels, Tx",Boise State
407,Lizzie Wilson,Fr,6'0,"San Diego, Ca",Boise State
408,Maddi Osburn,Sr,5'7,"Nampa, Id",Boise State
409,Maddie Simon,So,5'4,"West Liberty, Ia",Boise State
410,Maya Watkins,Fr,5'9,"Snohomish, Wa",Boise State
411,Morginne DeMarco,R-So,5'7,"Bakersfield, Ca",Boise State
412,Sabryn Roberts,Jr,5'9,"Torrance, Ca",Boise State
413,Sierra Nobley,Sr,6'1,"Scottsdale, Az",Boise State
414,Skye Southwick,Jr,5'7,"Cambridge, Id",Boise State
415,Tiaja McKnight,Jr,6'2,"Los Angeles, Ca",Boise State
416,Cali Thompson,R-So,6'0,"Las Vegas, Nv",Portland
417,Carey Williams,Fr,5'7,"Kahuku, Hi",Portland
418,Emily DeMots,Fr,6'2,"Portland, Or",Portland
419,Emma  Scanlan,So,5'7,"Moraga, Ca",Portland
420,Hannah  Troutman,Sr,5'10,"Powell Butte, Ore",Portland
421,Izzy Guzik,R-Fr,6'0,"San Diego, Ca",Portland
422,Kassidy Naone,Fr,5'11,"Kailua, Hi",Portland
423,Katie Barker,R-So,6'1,"Los Altos, Ca",Portland
424,Kellie Hughes,Fr,5'6,"Livermore, Ca",Portland
425,Lauren Naatz,Jr,5'3,"Salt Lake City, Ut",Portland
426,Liz Reich,Fr,6'1,"Colorado Springs, Co",Portland
427,McKenzie Schwan,Fr,5'8,"Auburn, Wa",Portland
428,Morgan Robinson,Sr,5'11,"Sunnyvale, Ca",Portland
429,Reghan Pukis,Jr,6'1,"Tacoma, Wa",Portland
430,Sarah Savoca,Sr,6'1,"Santa Cruz, Ca",Portland
431,Tani Stephens,GS,5'8,"Albany, Ore",Portland
432,Adlee Van Winden,Jr,6'1,"Napa, Ca",Cal Poly SLO
433,Brayden Gruenewald,So,5'9,"Southlake, Tx",Cal Poly SLO
434,Dora Beilin,Jr,5'11,"Berkeley, Ca",Cal Poly SLO
435,Emily Sonny,So,5'11,"Arroyo Grande, Ca",Cal Poly SLO
436,Hannah Hubbard,Sr,5'8,"San Diego, Ca",Cal Poly SLO
437,Heather Pembroke,So,5'9,"Chico, Ca",Cal Poly SLO
438,Jamie Stivers,Fr,6'2,"Coppell, Tx",Cal Poly SLO
439,Jessica  Manley,So,6'0,"Escondido, Ca",Cal Poly SLO
440,Kassandra Wright,Jr,5'9,"Temecula, Ca",Cal Poly SLO
441,Macy Gordon,Fr,5'8,"Paradise Valley, Az",Cal Poly SLO
442,Olivia Lee,Fr,6'1,"Tiburon, Ca",Cal Poly SLO
443,Peyton Sper,Fr,5'10,"Camarillo, Ca",Cal Poly SLO
444,Raeann Greisen,Sr,6'2,"San Diego, Ca",Cal Poly SLO
445,Sam Manley,Jr,5'10,"San Diego, Ca",Cal Poly SLO
446,Sjea Anderson,Fr,5'9,"Scotts Valley, Ca",Cal Poly SLO
447,Skyler Spooner,Fr,5'6,"Flower Mound, Tx",Cal Poly SLO
448,Taylor Nelson,Sr,6'0,"Granite Bay, Ca",Cal Poly SLO
449,Teiana Cataldo,Fr,5'10,"Honolulu, Hi",Cal Poly SLO
450,Tessa Tooman,Jr,5'10,"La Jolla, Ca",Cal Poly SLO
451,Tia Miric,Fr,5'8,"Ontario, Canada",Cal Poly SLO
452,Torrey Van Winden,So,6'3,"Napa, California",Cal Poly SLO
453,Anabela Sataric,GS,6'2,"Biberist, Switzerland",FIU
454,Ashley Klassen,Fr,5'7,"Tsawwasse, Canada",FIU
455,Brooke Bailey,So,5'9,"Tampa, Fl",FIU
456,Dorina Klinger,Jr,6'1,"Feldkirchen, Austria",FIU
457,Erika Zembyla,R-Jr,6'0,"Nicosia, Cyprus",FIU
458,Erin Byrne,Fr,5'11,"San Diego, Ca",FIU
459,Estefanie  Bethancourt,Sr,6'0,"Guatemala City, Guatemala",FIU
460,Federica Frasca,So,5'9,"Rome, Italy",FIU
461,Helene Thelle,So,5'10,"Tolvsrød, Norway",FIU
462,Katie Friesen,Jr,5'9,"Manitoba, Canada",FIU
463,Lina Bernier,R-So,5'10,"San Juan, Puerto Rico",FIU
464,Mackenzie  Walker,So,5'9,"Sarasota, Fl",FIU
465,Madison Besterfield,Fr,6'3,"Tampa, Fl",FIU
466,Margherita Bianchin,Jr,6'0,"Traviso, Italy",FIU
467,Mariana Dal Pozzo,Sr,5'7,"Toledo, Brazil",FIU
468,Mariana De Paula Silva,Sr,5'11,"Sao Jose dos Campos, Brazil",FIU
469,Natalia Giron,Sr,6'2,"Guatemala City, Guatemala",FIU
470,Samantha Lemmon,Fr,5'6,"Boca Raton, Fl",FIU
471,Taija Thomas,Sr,6'0,"Scarborough, Ontario, Can",FIU
472,Amanda Silva,Jr,5'10,"MaceiA, Brazil",FAU
473,Ashlan  Cunningham,Jr,5'6,"Colleyville, Tx",FAU
474,Bailey Myott,Fr,5'5,"Boynton Beach, Fl",FAU
475,Brittany Pellitteri,Sr,5'7,"Deerfield Beach, Fl",FAU
476,Candace Lacour,So,5'8,"Buckeye, Az",FAU
477,Carly Scarborough,GS,6'1,"Sarasota, Fl",FAU
478,Erica Brok,Fr,5'9,"Ormond Beach, Fl",FAU
479,Gabrielle Dischler,Sr,5'9,"Naples, Fl",FAU
480,Jazmine Barker,Jr,5'10,"Palm Harbor, Fl",FAU
481,Jessalyn Kinlaw,Sr,5'6,"Bradenton, Fl",FAU
482,Johannah Cummines,Fr,5'6,"New Port Richey, Fl",FAU
483,Julia Lewkowicz,Jr,5'11,"Coral Springs, Fl",FAU
484,Kaila Dorish,Fr,5'11,"Royal Palm Beach, Fl",FAU
485,Lauren Galinis,So,5'8,"Delray Beach, Fl",FAU
486,Mackenzie Morris,Fr,5'10,"Jacksonville, Fl",FAU
487,Mazarine Tsuji,Fr,5'8,"Hallandale, Fl",FAU
488,Megan McGrath,So,5'10,"Boca Raton, Fl",FAU
489,Nicole Navarro,Jr,5'7,"Boca Raton, Fl",FAU
490,Nicole Grant,Jr,6'0,"Bradenton, Fl",FAU
491,Sam Gott,So,5'9,"Loxahatchee, Fl",FAU
492,Alex Holt,R-Jr,6'0,"Sacramento, Ca",Pacific
493,Andie Shelton,Sr,5'9,"Stockton, Ca",Pacific
494,Ashlyn Fleming,So,6'4,"San Jose, Ca",Pacific
495,Emily Baptista,So,6'2,"Hilmar, Ca",Pacific
496,Hanne De Schrijver,Fr,5'10,"Serskamp, Belgium",Pacific
497,Kaitlyn Lines,Fr,6'0,"Gilbert, Az",Pacific
498,Katrin Gotterba,Sr,5'6,"Stockton, Ca",Pacific
499,Maycie LaBass,Sr,6'0,"Modesto, Ca",Pacific
500,Olivia Petnicki,So,5'4,"Vacaville, Ca",Pacific
501,Roni Long,Jr,5'10,"Porterville, Ca",Pacific
502,Skylar Wine,So,6'2,"Phoenix, Az",Pacific
503,Taylor Poncetta,Sr,5'11,"San Jose, Ca",Pacific
504,Avery Arellano,So,5'10,"Lucas, Tx",TCU
505,Brooke Sassin,Sr,6'0,"San Antonio, Tx",TCU
506,Cassie House,Sr,6'2,"Rio Rancho, NM",TCU
507,Claire Doyle,So,5'10,"Atlanta, Ga",TCU
508,Hannah Rogers,Fr,5'8,"Santa Ynez, Ca",TCU
509,Haven Hill,So,5'8,"Ventura, Ca",TCU
510,Jaelyn Greene,Jr,5'9,"Mission Viejo, Ca",TCU
511,Jensyn Bledsoe,So,5'7,"Pinehurst, Tx",TCU
512,Jillian Bergeson,Sr,6'2,"Friendswood, Tx",TCU
513,Jordan Terral,Jr,5'6,"Encinitas, Ca",TCU
514,Jordan Westendorf,Fr,5'9,"Dallas, Tx",TCU
515,Kristy Wieser,Sr,6'2,"Lincoln, Ne",TCU
516,Madison Borowski,Jr,5'9,"Austin, Tx",TCU
517,Molly Scheel,Jr,5'9,"Phoenix, Az",TCU
518,Olivia Canales,Jr,6'1,"Lexington, Ky",TCU
519,Abbey Wilson,Fr,5'11,"Albuquerque, N.M.",New Mexico
520,Carly Beddingfield,Jr,6'3,"Albuquerque, NM",New Mexico
521,Chloe Crappell,Sr,5'7,"Albuquerque, NM",New Mexico
522,Eastyn Baleto,Sr,5'8,"Seattle, Wa",New Mexico
523,Emily Nenninger,So,5'5,"Albuquerque, N.M.",New Mexico
524,Erin Martin,Fr,5'7,"Denver, Co",New Mexico
525,Hailey Rubino,Fr,5'11,"Leesburg, Va",New Mexico
526,Kayla Long,Fr,5'3,"Tucson, Az",New Mexico
527,Lauren Twitty,GS,6'1,"Broadlands, Va",New Mexico
528,Maddie Irwin,Sr,5'11,"Tucson, Az",New Mexico
529,Mercedes Pacheco,,5'2,,New Mexico
530,Morgan Schreckler,Fr,6'1,"Phoenix, Az",New Mexico
531,Yasmin Tan,Fr,5'11,"Melbourne, Australia",New Mexico
532,Blossom Sato,Sr,5'9,"Santa Monica, Ca",Mississippi State
533,Emily Hill,Jr,6'6,"Denton, Tx",Mississippi State
534,Katie Nicholson,Sr,6'2,"Aledo, Tx",Mississippi State
535,Khris Carr,Sr,5'11,"Starkville, Miss",Mississippi State
536,Liv Benner,Jr,6'6,"Danville, Ind",Mississippi State
537,Sara Maddox,So,6'2,"Leawood, Kan",Mississippi State
538,Aeriel Horton,Jr,5'7,"Waxahachie, Tx",Houston Baptist
539,Bailey Banks,Sr,5'10,"Missouri City, Tx",Houston Baptist
540,Brennan Miller,Fr,5'6,"Claremont, Ca",Houston Baptist
541,Danielle Wheeler,So,6'0,"San Diego, Ca",Houston Baptist
542,Jessica Wooten,GS,5'11,"Humble, Tx",Houston Baptist
543,Jordyn Miller,Fr,5'8,"Phoenix, Az",Houston Baptist
544,Kali Fluke,Sr,6'1,"San Antonio, Tx",Houston Baptist
545,Katya Silveira,Fr,5'9,"Houston, Tx",Houston Baptist
546,Kayla Armer,GS,6'0,"Bradenton, Fl",Houston Baptist
547,Madison O'Brien,Jr,5'9,"Cleveland, Tx",Houston Baptist
548,Meagan Carter,Fr,5'8,"Bakersfield, Ca",Houston Baptist
549,Mikayla Vivens,Fr,"5'9""","San Antonio, Texas/ Warren",Houston Baptist
550,Tori Hinojosa,So,5'8,"San Antonio, Tx",Houston Baptist
551,Alexa Richardson,So,5'7,"Austin, Tx",Stetson
552,Brynn Carrick,Fr,5'8,"Hampstead, N.C.",Stetson
553,Carly Perales,So,5'9,"Round Rock, Tx",Stetson
554,Caroline Pomet,Jr,5'4,"Lutz, Fl",Stetson
555,Darby Dunn,So,6'0,"South Surrey, B.C.",Stetson
556,Grace Christiansen,So,5'7,"Lantana, Tx",Stetson
557,Julie Varga,So,6'0,"Fredrikstad, Norway",Stetson
558,Katinka Krahn,So,5'11,"Oslo, Norway",Stetson
559,Lauren Durham,Jr,5'5,"Apex, NC",Stetson
560,Lexi  Ham,So,5'6,"Scottsdale, Az",Stetson
561,Quinci Birker,Fr,5'10,"Kelowna, B.C.",Stetson
562,Rachel Noble,Jr,5'10,"Carlsbad, Ca",Stetson
563,Rebecca Ingram,Fr,6'0,"Riverslea, Australia",Stetson
564,Samantha Harris,Jr,5'7,"Arlington, Va",Stetson
565,Sammee Thomas,Jr,5'7,"Huntington Beach, Ca",Stetson
566,Sunniva Helland-Hansen,So,5'8,"Oyeste, Norway",Stetson
567,Anna Dalla Vecchia,Fr,,,USF
568,Camille Araujo,So,5'7,"Long Beach, Ca",USF
569,Carly Lowry,So,5'11,"Tucson, Az",USF
570,Emily Zinger,Fr,,"Little Elm, Tx",USF
571,Erica Ronda,Fr,,"Chandler, Az",USF
572,Erin Anthony,Fr,,"Sugar Land, Tx",USF
573,Haley Howell,GS,5'10,"Tucson, Az",USF
574,Julia Topor,GS,,,USF
575,Kate Ashman,So,6'3,"Cyrpress, Ca",USF
576,Laura Leap,Jr,,"Thousand Oaks, Ca",USF
577,Madelyn LaFollette,Fr,,"Alameda, Ca",USF
578,Marjolijn  Oskam,Sr,6'4,"Bussum, Netherlands",USF
579,Nora Buvarp Lavik,Sr,6'3,"Tonsberg, Norway",USF
580,Pi'ikea Clemens,Fr,,"Kailua, Hi",USF
581,Sabrina Blackwell,GS,,"San Jose, Ca",USF
582,Shannon Levinson,So,5'3,"Los Angeles, Ca",USF
583,Trish Koutsoukos,So,5'7,"Sydney, Aus",USF
584,Breann Robinson,Sr,6'0,"Jamestown, Ca",San Jose State University
585,Ciara Reistad,Sr,5'7,"La Quinta, Ca",San Jose State University
586,Fernanda Vido,R-So,5'10,"Belo Horizonte, Brazil",San Jose State University
587,Giulia Gavio,Jr,6'0,"Rio de Janeiro, Brazil",San Jose State University
588,Hayley Sturgeon,Jr,6'2,"Mountain View, Ca",San Jose State University
589,Jamie Hirai,Sr,5'7,"Honolulu, Hi",San Jose State University
590,Julia Golbeck,Jr,6'0,"Sugar Grove, Ill",San Jose State University
591,Kaitlynn Zdroik,So,5'9,"Brentwood, Ca",San Jose State University
592,Laura  Parts,So,6'2,"Parnu, Estonia",San Jose State University
593,Luiza Andrade,Jr,5'5,"Rio de Janeiro, Brazil",San Jose State University
594,Lyndi Scholl,GS,5'10 ,"Kaneville, Ill",San Jose State University
595,Nandyala Gama,Sr,6'3,"Rio de Janeiro, Brazil",San Jose State University
596,Ryann Thomison,Fr,6'0,"Sacramento, Ca",San Jose State University
597,Summer Avery,Sr,5'11,"Tucscon, Az",San Jose State University
598,Thaliana Grajeda,So,6'0,"Clovis, Ca",San Jose State University
599,Aleksandra Djordjevic,Sr,6'0,"Belgrade, Serbia",Cal State Bakersfield
600,Ally  Barber,R-So,6'0,"Maltby, Wa",Cal State Bakersfield
601,Ashley Prater,So,5'7,"Glendale, Az",Cal State Bakersfield
602,Bailey Smith,Fr,6'2,"Phoenix, Az",Cal State Bakersfield
603,Briannah Mariner,Jr,5'10,"Salt Lake City, Ut",Cal State Bakersfield
604,Brooke Boiseau,Fr,6'1,"Scottsdale, Az",Cal State Bakersfield
605,Desiree Sukhov,Fr,6'0,"Murrieta Valley, Ca",Cal State Bakersfield
606,Emily Hansen,Fr,5'10,"Bakersfield, Ca",Cal State Bakersfield
607,Emily Lopes,Sr,5'7,"Bakersfield, Ca",Cal State Bakersfield
608,Fabina Andrade,Sr,5'7,"Sao Paulo, Brazil",Cal State Bakersfield
609,Hannah Manzanares,Jr,5'7,"Phoenix, Az",Cal State Bakersfield
610,Haylee Roberts,R-Sr,6'2,"Bakersfield, Ca",Cal State Bakersfield
611,Kayla Tinker,So,5'9,"San Clemente, Ca",Cal State Bakersfield
612,Krista Hernandez,Fr,5'5,"Culver City, Ca",Cal State Bakersfield
613,Madi Busler,So,5'11,"Aurora, Co",Cal State Bakersfield
614,Marina Sanches,R-Jr,6'3,"Sao Paulo, Brazil",Cal State Bakersfield
615,Mattison Degarmo,Jr,6'3,"Castle Rock, Co",Cal State Bakersfield
616,Sarah Garrow,So,5'10,"Vancouver, Wa",Cal State Bakersfield
617,Sydney Haynes,GS,6'2,"Vancouver, Wa",Cal State Bakersfield
618,Sydney Wicks,R-Jr,5'8,"Aurora, Co",Cal State Bakersfield
619,Tasha Skabelund,Fr,6'0,"Stevenson Ranch, Ca",Cal State Bakersfield
620,Allison Beckman,Jr,,"Apex, NC",College of Charleston
621,Brittany Velez,Sr,,"Mt Pleasant, S.C.",College of Charleston
622,Devon Rachel,Jr,,"Louisville, Ky",College of Charleston
623,Ella Ridinger,Fr,,"Glen Ellyn, Ill",College of Charleston
624,Jane Feddersen,Sr,,"Leesburg, Va",College of Charleston
625,Katja Ehlers,So,,"Raleigh, NC",College of Charleston
626,Kennedy Madison,Jr,,"Evansville, Ind",College of Charleston
627,Krissy Mummey,Sr,,"Hudson, Oh",College of Charleston
628,Lauren Hollman,Sr,5'10,"Union, Ky",College of Charleston
629,Lauren Freed,So,,"Troy, Oh",College of Charleston
630,Logan Manusky,Fr,,"San Diego, Ca",College of Charleston
631,Mandy Napierala,So,,"Irondequoit, N.Y.",College of Charleston
632,Mckala Rhodes,Jr,,"Charleston, SC",College of Charleston
633,Megan Morris,Jr,,"Mt Pleasant, S.C.",College of Charleston
634,Meghan Murphy,So,,"Orange, Ca",College of Charleston
635,Natalie Tucker,Sr,,"Isle of Palms, S.C.",College of Charleston
636,Peyton Eisnaugle,So,,"Dallas, Tx",College of Charleston
637,Riana  Brennan,Sr,,"Los Gatos, Ca",College of Charleston
638,Taylor Foley,Jr,,"Agoura Hills, Ca",College of Charleston
639,Anna Grauel,Jr,6'0,"Montclair, Va",UNC Wilmington
640,Brynn Montgomery,Fr,6'0,"Fort Collins, Co",UNC Wilmington
641,Cassie Thompson,Fr,5'7,"Brown Summit, N.C.",UNC Wilmington
642,Courtney Mullinax,Jr,5'5,"Wilmington, N.C.",UNC Wilmington
643,Elena Turnbull,Fr,5'10,"Salisbury, N.C.",UNC Wilmington
644,Halle Hunt,Jr,5'11,"Greensboro, NC",UNC Wilmington
645,Jaime Thomas,Fr,6'0,"Hamilton, Ontario (Canada)",UNC Wilmington
646,Jazzell Mangosing,Fr,5'2,"Virginia Beach, Va",UNC Wilmington
647,JM Lewandowski,Fr,6'0,"Hendersonville,Tn",UNC Wilmington
648,Kati Smith,So,5'9,"Raleigh, N.C.",UNC Wilmington
649,Katie McCullough,Jr,5'10,"Raleigh, NC",UNC Wilmington
650,Kyla Augustine,Fr,6'0,"St Charles, Ill",UNC Wilmington
651,Maddy Kline,Jr,6'1,"Palmyra, Va",UNC Wilmington
652,Nicole Lott,GS,5'11,"West Chester, Pa",UNC Wilmington
653,Raquel Rooney,So,5'7,"Raleigh, NC",UNC Wilmington
654,Reagan Evans,Fr,5'7,"Largo, Fl",UNC Wilmington
655,Sarah Kelly,Sr,6'0,"Raleigh, NC",UNC Wilmington
656,Allie Elson,Sr,5'6,"Woodstock, Ga",Georgia State
657,Amie  Held,GS,5'9,"Festus, Mo",Georgia State
658,Annika Van Gunst,GS,6'0,"Fayetteville, Ga",Georgia State
659,Ashley McGinn,Jr,5'9,"Sewell, NJ",Georgia State
660,Ashley Bauchert,Fr,5'9,"Allen, Tx",Georgia State
661,Brooke Weiner,Jr,5'11,"Ventura, Ca",Georgia State
662,Eden Hawes,Fr,5'8,"Panama City Beach, Fl",Georgia State
663,Georgia Johnson,So,5'11,"Brisbane, Queensland",Georgia State
664,Jessie Swaney,Sr,5'7,"McDonough, Ga",Georgia State
665,Kate Novack,So,5'9,"Fort Wayne, Ind",Georgia State
666,Maddie Gordon,So,6'0,"Fort Worth, Tx",Georgia State
667,Mattie Johnson,Fr,5'7,"Tabor City, NC",Georgia State
668,Meagan McCall,Fr,5'7,"Phoenix, Az",Georgia State
669,Olivia Stasevich,So,5'8,"Canton, Ga",Georgia State
670,Rebekah Brodbeck,Fr,5'9,"San Antonio, Tx",Georgia State
671,Teegan Van Gunst,GS,6'0,"Fayetteville, Ga",Georgia State
672,Tiffany Creamer,GS,6'2,"Newnan, Ga",Georgia State
673,Abigail Moss,So,5'10,"Kennesaw, Ga",Mercer
674,Amber Gibson,So,5'9,"Cypress, Tx",Mercer
675,Danielle Faust,Jr,5'11,"Reading, Pa",Mercer
676,Elli Merchant,Fr,6'0,"Bedford, Tx",Mercer
677,Elli Gibson,Fr,5'4,"Cincinnati, Oh",Mercer
678,Emilee Wissmach,Fr,,"Savannah, Ga",Mercer
679,Gracie Garanich,Fr,5'10,"Maineville, Oh",Mercer
680,Jessica Johnson,Sr,5'10,"Oswego, Ill",Mercer
681,Kacy Ogden,Fr,5'9,"Alva, Fl",Mercer
682,Kylie Keeling,Fr,5'5,"Fresco, Tx",Mercer
683,Lela Mcintosh,Sr,5'8,"Austin, Tx",Mercer
684,Madison Kerr,Sr,5'8,"Atlanta, Ga",Mercer
685,Marina Chavez,Sr,6'0,"Guatemala City, Guatemala",Mercer
686,Sarah Stewart,Fr,,"Savannah, Ga",Mercer
687,Sophie Peel,Sr,5'10,"Portland, Ore",Mercer
688,Abbie Harry,So,6'0,"Frederick, Md",Central Arkansas
689,Aly Brinkley,Fr,5'10,"Conway, Ar",Central Arkansas
690,Brittany Whiting,Fr,5'6,"Austin, Tx",Central Arkansas
691,Colene Hamilton,Fr,5'8,"Columbia,Ill",Central Arkansas
692,Delaney Driver,GS,5'9,"Wichita Falls, Tx",Central Arkansas
693,Hayley Tippett,Jr,6'0,"Roanoke, Tx",Central Arkansas
694,Jessica Martinez,Jr,5'7,"Parker, Co",Central Arkansas
695,Kelsey Sager,Fr,5'10,"Wichita Falls, Tx",Central Arkansas
696,Kimberly Schnars,Jr,5'8,"Downey, Ca",Central Arkansas
697,Kristine Hjembo,Jr,5'11,"Aalesund, Norway",Central Arkansas
698,Mackenzie  Dear,So,5'8,"Conway, Ark",Central Arkansas
699,MC Rogers,Sr,6'2,"Collierville, Tn",Central Arkansas
700,Megan Nash,Jr,6'0,"Oakville, Canada",Central Arkansas
701,Shelby Holmes,GS,6'0,"Lawrence, Tx",Central Arkansas
702,Stephanie Pollnow,Sr,6'0,"Beebe, Ark",Central Arkansas
703,Ali Svorinic,Sr,5'7,"Scottsdale, Az",Colorado Mesa
704,Ara Norwood,Fr,5'6,"Ridgway, Co",Colorado Mesa
705,Ashton Reese,Fr,6'1,"Eaton, Co",Colorado Mesa
706,Hailey Crane,So,6'0,"Bothell, Wash",Colorado Mesa
707,Hana Peterman,Jr,5'9,"Tucson, Az",Colorado Mesa
708,Julia Baskin,So,6'0,"Arvada, Co",Colorado Mesa
709,Kasie Gilfert,R-Fr,6'0,"Aurora, Co",Colorado Mesa
710,Katie Scherr,So,6'0,"Bismarck, N.D.",Colorado Mesa
711,Lindy Dixon,So,5'9,"Eaton, Co",Colorado Mesa
712,Megan Gianinetti,Sr,6'0,"Carbondale, Co",Colorado Mesa
713,Natalee Todd,Jr,5'9,"Bismarck, N.D.",Colorado Mesa
714,Rachael Perrine,Fr,5'11,"Aurora, Co",Colorado Mesa
715,Samantha Ritter,So,5'10,"Tinley Park, Ill",Colorado Mesa
716,Taylor Woods,Jr,5'4,"Glendale, Az",Colorado Mesa
717,Bethany Salapek,Fr,5'3,"Raleigh, NC",Jacksonville
718,Cristina Finan,Sr,5'9,"Weston, Fl",Jacksonville
719,Forfeit  1,,,,Jacksonville
720,Forfeit  2,,,,Jacksonville
721,Hannah Marchand,Fr,5'11,"Sturgis, Mi",Jacksonville
722,Katie Krawczyk,Jr,5'8,"Ovledo, Fl",Jacksonville
723,Kendall Murr,Fr,5'9,"Yorktown, In",Jacksonville
724,Lauren Petersen,Jr,5'11,"Liberty, Mo",Jacksonville
725,Mackenzie Swan,Sr,5'10,"Colorado Springs, Co",Jacksonville
726,Madison  Rayam,Fr,5'10,"Alabaster, Al",Jacksonville
727,Mallory Mattingly,So,"5'10""","Sanford, Fla. / Seminole",Jacksonville
728,Morgan Dees,So,5'7,"Marietta, Ga",Jacksonville
729,Olga Nushtayeva,Sr,5'11,"Palm Coast, Fl",Jacksonville
730,Savannah Siegrist,Fr,5'9,"Davidsonville, Md",Jacksonville
731,Shaylee Befus,,5'7,"Brighton, Co",Jacksonville
732,Shelby Babowicz,Sr,5'8,"Hollywood, Fl",Jacksonville
733,Tori Reiser,So,5'7,"Weston, Fl",Jacksonville
734,Vanessa Richards,So,5'8,"Marietta, Ga",Jacksonville
735,Blaire Register,,,,UNF
736,Britney Krueger,So,5'8,"Fort Walton Beach, Fl",UNF
737,Brittany Pase,R-Jr,5'9,"Crestview, Fl",UNF
