,Name,Year,Height,Hometown/HS,Team
738,Callie Workman,Fr,5'7,"Tallahassee, Fl",UNF
739,Carina Hoff,R-Sr,6'2,"Eustis, Fl",UNF
740,Carolyn Cain,Fr,5'9,"Purcellville, Va",UNF
741,Casey Justice,Fr,5'8,"Panama City Beach, Fl",UNF
742,Chaney Howard,Jr,5'7,"St. Cloud, Fl",UNF
743,Courtney Miller,R-Jr,5'10,"Waxahachie, Tx",UNF
744,Gabby O'Connell,So,6'0,"Gainesville, Fl",UNF
745,Leah Maloney,So,6'0,"Cincinnati, Oh",UNF
746,Madilyn McCarty,So,6'0,"Springfield, Ill",UNF
747,Mallory Waggoner,GS,6'0,"Sarasota, Fl",UNF
748,Marissa Rogers,Fr,5'7,"Crestview, Fl",UNF
749,Nicole DeBolt,Jr,5'7,"Ocala, Fl",UNF
750,Sadie Thurston,Sr,5'11,"Ponte Vedra, Fl",UNF
751,Taryn Griffey,So,6'1,"Wildwood, Mo",UNF
752,Alex Kells,Fr,6'0,"Burlington, Ontario, Canada",UAB
753,Alyssa Kirkman,Jr,5'11,"Naperville, Ill",UAB
754,Annie Pringle,R-So,5'11,"Victoria, BC, Canada",UAB
755,Avei Logoleo,Sr,5'9,"Nashville, Tn",UAB
756,Avery Hoven,R-Sr,5'11,"Hoover, Al",UAB
757,Bethany Whitenton,Fr,5'9,"Gainesville, Ga",UAB
758,Brittney Munro,So,6'4,"Cypress, Tx",UAB
759,Devon May,GS,5'9,"Roberts Creek, BC, Canada",UAB
760,Emily Martinez,Jr,5'8,"San Antonio, Tx",UAB
761,Erin Bognar,GS,6'2,"St Louis, Mo",UAB
762,Gabbi Moreno,Sr,5'10,"Houston, Tx",UAB
763,Haley Jared,Sr,5'11,"Hartselle, Al",UAB
764,Kaylee McClure,Fr,5'6,"Kennesaw, Ga",UAB
765,Kenley Adams,So,6'0,"Panama City, Fl",UAB
766,Morgan Smith,So,5'7,"Cincinnati, Oh",UAB
767,Rachel Evans,Jr,5'8,"St. Petersburg, Fl",UAB
768,Sallianne Napolitano,Fr,,"Bordentown Township, N.J.",UAB
769,Tressa Buckland,Jr,5'10,"Park City, Ut",UAB
770,Alanya Ryan,Fr,5'11,"Fort Myers, Fl",FGCU
771,Amanda Carroll,Jr,5'10,"Albuquerque, NM",FGCU
772,Ashley Glickert,Sr,5'10,"Chesterfield, Mo",FGCU
773,Courtney VanLiew,Fr,5'11,"Seymour, In",FGCU
774,Giovanna Borgiotti,So,5'10,"Vienna, Va",FGCU
775,Kaitlan Krivdo,Jr,6'0,"Hope Mills, NC",FGCU
776,Karissa Rhoades,Jr,5'11,"Valrico, Fl",FGCU
777,Katherine Puisis,Jr,5'11,"Mason, Oh",FGCU
778,Kayla Whetstone,Fr,5'8,"Arlington, Tx",FGCU
779,Kellie Pernula,Jr,5'7,"Plant City, Fl",FGCU
780,Mackenzie Allen,Sr,5'10,"Naples, Fl",FGCU
781,Snowy Burnam,Fr,5'11,"Palm City, Fl",FGCU
782,Ashley Clingan,Jr,5'5,"Jacksonville, Al",Jacksonville State
783,Bethany Randall,Fr,5'10,"Seffner, Fl",Jacksonville State
784,Charis Ludtke,Sr,5'11,"Hamburg, Germany",Jacksonville State
785,Grace Jarnagin,Fr,5'9,"Mill Creek, Wa",Jacksonville State
786,Hailey Hughes,So,5'8,"Bloomfield Hills, Mi",Jacksonville State
787,Hannah Kirk,Sr,5'3,"Katy, Tx",Jacksonville State
788,Katie Will,Jr,5'6,"Clearwater, Fl",Jacksonville State
789,Kayla Frear,So,6'3,"Colorado Springs, Co",Jacksonville State
790,Kaylie Milton,Fr,5'11,"Fullerton, Ca",Jacksonville State
791,Kim Krutsinger,R-So,6'2,"Colorado Springs, Co",Jacksonville State
792,Mackenzie Rombach,Jr,6'1,"Ottawa, Ill",Jacksonville State
793,Maddie Cloutier,So,5'6,"Brighton, Co",Jacksonville State
794,Madison Cooler,Fr,5'8,"Ridgeland, SC",Jacksonville State
795,Rachel Perucki,So,5'6,"Tomball, Tx",Jacksonville State
796,Sadie Anderson,So,6'0,"Phoenix, Az",Jacksonville State
797,Sam Bogdan,Fr,5'9,"New Port Richey, Fl",Jacksonville State
798,Shayla Schmidt,So,6'0,"Peoria, Az",Jacksonville State
799,Ally Carr,Fr,5'7,"Ontario, Canada",New Orleans
800,Blessings Dunn,Jr,"5'8""","Jacksonville, Ala. / Jacksonville HS",New Orleans
801,Brianna Vega,So,5'10,"San Antonio, Tx",New Orleans
802,Cara Sander,R-Sr,6'0,"Wiesbaden, Germany",New Orleans
803,Jordan Schumacher,Fr,5'9,"Gilbert, Az",New Orleans
804,Kaitlyn Grice,Jr,6'2,"Valrico, Fl",New Orleans
805,Madison Miller,Jr,5'6,"Granbury, Tx",New Orleans
806,Manela Grau,Jr,5'6,"Valencia, Spain",New Orleans
807,Maxine Walsh,Fr,5'11,"Leonia, New Jersey",New Orleans
808,Rachel Kuhn,So,5'6,"El Cajon, Ca",New Orleans
809,Rhyan  Rand,So,"5'7""","Lindale, Texas / Lindale HS",New Orleans
810,Veronica Corcoran,So,5'10,"Closter, Nj",New Orleans
811,Victoria Corcoran,So,5'10,"Closter, Nj",New Orleans
812,Abigail O'Ferrell,Jr,5'11,"Labelle, Fl",Eckerd
813,Arielle Erillo,Jr,5'3,"Lake Worth, Fl",Eckerd
814,Fernanda  Reis,So,5'11,"Rio de Janeiro, Brazil",Eckerd
815,Jordan Duffy,Fr,5'8,"Palm Harbor, Fl",Eckerd
816,Kaitlyn Sibson,Sr,5'8,"Tampa, Fl",Eckerd
817,Kali Boatwright,So,5'10,"Lakeland, Fl",Eckerd
818,Mackenzie Redner,Sr,6'0,"Truckee, Ca",Eckerd
819,Madison  Whiting,Sr,6'0,"Lithia, Fl",Eckerd
820,Paula Hoffman,Fr,5'9,"Rio de Janeiro, Brazil",Eckerd
821,Rachel Cornatzer,Jr,5'10,"Oldsmar, Fl",Eckerd
822,Samantha Bevilacqua,Fr,5'10,"Newfield, N.J.",Eckerd
823,Savanna Cary,Sr,5'9,"Boynton Beach, Fl",Eckerd
824,Stephanie Bogda,Jr,5'7,"Levittown, NY",Eckerd
825,Allison Weimer,Fr,5'10,"Covington, La",Spring Hill College
826,Angela McClain,R-Fr,5'10,"New Orleans, La",Spring Hill College
827,Brittany  Bilotti,So,5'6,"Miami, Fl",Spring Hill College
828,Caroline Herrera,Jr,5'9,"Austin, Tx",Spring Hill College
829,Cassidi Sterrett,R-Fr,5'7,"Lee's Summit, Mo",Spring Hill College
830,Catherine Milwee,Sr,5'6,"Mobile, Al",Spring Hill College
831,Emily Greim,Jr,5'9,"McKinney, Tx",Spring Hill College
832,Emily Sullivan,R-Fr,5'9,"Chicago, Ill",Spring Hill College
833,Emmarose Neibert,So,5'7,"Arnold, Mo",Spring Hill College
834,Julie Vujnovich,Sr,5'9,"Belle Chasse, La",Spring Hill College
835,Katie Beth Gammon,Jr,5'8,"Plano, Tx",Spring Hill College
836,Landen Lake,R-Fr,5'0,"Tuscaloosa, Al",Spring Hill College
837,Mary Keller,Fr,6'0,"Kansas City, Mo",Spring Hill College
838,Morgan Eiland,Jr,6'2,"Mobile, Al",Spring Hill College
839,Paige Pappas,Fr,5'11,"Chicago, Ill",Spring Hill College
840,Patty Blood,So,5'11,"Cincinnati, Oh",Spring Hill College
841,Payton Gidney,So,5'9,"Grapevine, Tx",Spring Hill College
842,Rebecca Moore,Fr,5'6,"Grand Bay, Al",Spring Hill College
843,Ryann Horkavy,Fr,5'11,"Chicago, Ill",Spring Hill College
844,Sarah Senft,So,5'10,"Spring Grove, Pa",Spring Hill College
845,Taylor Hurst,So,5'11,"Gulf Shores, Al",Spring Hill College
846,Abby Struewing,Fr,5'5,"Lebanon, Oh",Carson-Newman
847,Aryana Fazelnia,Fr,5'8,"Weston, Fl",Carson-Newman
848,Catherine Cook,Sr,5'4,"Morristown, Tn",Carson-Newman
849,Gabrielle Bailey,Sr,5'8,"Pompano Beach, Fl",Carson-Newman
850,Grace Seymour,Fr,5'10,"Hudson, Fl",Carson-Newman
851,Kelly Hughes,So,5'8,"Woodbridge, Va",Carson-Newman
852,Lauren Williams,Fr,5'7,"Carrollton, Ga",Carson-Newman
853,Lexi Headley,Fr,5'7,"Sharps Chapel, Tn",Carson-Newman
854,Lexie Acevedo,Fr,5'7,"Newport, Tn",Carson-Newman
855,Micah Depetro,Fr,6'0,"Knoxville, Tn",Carson-Newman
856,Micah Palmer,Fr,5'7,"White Pine, Tn",Carson-Newman
857,Montgomery Sauter,Fr,5'4,"Columbia, S.C.",Carson-Newman
858,Morgan Harlan,Sr,6'2,"Ladera Ranch, Ca",Carson-Newman
859,Summer Coulter,Fr,5'7,"El Paso, Tx",Carson-Newman
860,Aleksandra Djuric,Sr,5'11,"Belgrade, Serbia",Coastal Carolina
861,Aristea Tontai,Fr,6'4,"Athens, Greece",Coastal Carolina
862,Autumn Otto,Jr,5'9,"Carlisle, Pa",Coastal Carolina
863,Carla Cahill,Jr,5'8,"Oak Lawn, Ill",Coastal Carolina
864,Christina Nance,Fr,6'3,"Bowie, Md",Coastal Carolina
865,Dora Lulic,Sr,6'2,"Osijek, Croatia",Coastal Carolina
866,Haylie Beck,Fr,5'7,"Powell, Oh",Coastal Carolina
867,Kalin Eske,Fr,5'8,"Milwaukee, Wi",Coastal Carolina
868,Kaylah House,Fr,6'3,"Atlanta, Ga",Coastal Carolina
869,Kinga Windisch,So,6'2,"Budapest, Hungary",Coastal Carolina
870,Kyla Manning,Fr,6'0,"Atlanta, Ga",Coastal Carolina
871,Leah Hardeman,Sr,5'10,"Clarkston, Ga",Coastal Carolina
872,Sara Boothe,,,,Coastal Carolina
873,Shelby Ladewig,Sr,5'9,"Houston, Tx",Coastal Carolina
874,Sydney Alvis,Jr,5'4,"Maidans, Va",Coastal Carolina
875,Tanner Gauthier,Fr,5'10,"Nokomis, Fl",Coastal Carolina
876,Abigail Devido,Fr,5'9,"Ashburn, Va",Texas A&M; Corpus Christi
877,Chloe Simon,Fr,,"Katy, Tx",Texas A&M; Corpus Christi
878,Demi McInnis,Fr,5'7,"Cypress, Tx",Texas A&M; Corpus Christi
879,Gabriella Johnston,Fr,5'7,"Kerrville, Tx",Texas A&M; Corpus Christi
880,Jenna Krenek,Fr,,"Houston, Tx",Texas A&M; Corpus Christi
881,Kayla Walker,Fr,5'9,"Murrieta, Ca",Texas A&M; Corpus Christi
882,Madi Fitzsimmons,Jr,6'0,"Murphy, Tx",Texas A&M; Corpus Christi
883,Madison Green,Jr,5'8,"Dripping Springs, Tx",Texas A&M; Corpus Christi
884,Maya Daukas,Fr,5'10,"Santa Monica, Ca",Texas A&M; Corpus Christi
885,Naomi Overstreet,Jr,5'11,"Oakland, Ca",Texas A&M; Corpus Christi
886,Olivia  Rook,Jr,5'9,"Arlington, Tx",Texas A&M; Corpus Christi
887,Rachel Young,Fr,,"Frisco, Tx",Texas A&M; Corpus Christi
888,Selina Marolf,Fr,5'11,"Bern, Switzerland",Texas A&M; Corpus Christi
889,Ashtin Olin,Fr,5'11,"Pasco, Wa","Cal State University, Sacramento"
890,Brie Gathright,Jr,5'11,"Vacaville, Ca","Cal State University, Sacramento"
891,Brigitte Murdock,Sr,5'6,"Reno, Nv","Cal State University, Sacramento"
892,Cianna Andrews,Fr,5'10,"Bellflower, Ca","Cal State University, Sacramento"
893,Erin Cochran,Sr,6'3,"Fremont, Ca","Cal State University, Sacramento"
894,Hannah Meadows,Sr,5'7,"Sparks, Nv","Cal State University, Sacramento"
895,Kennedy Kurtz,Sr,5'10,"Tucson, Az","Cal State University, Sacramento"
896,Lana Brown,Sr,6'0,"Redding, Ca","Cal State University, Sacramento"
897,Macey Hayden,Fr,5'11,"Lincoln, Ca","Cal State University, Sacramento"
898,Mikaela Nocetti,Jr,5'11,"Carmichael, Ca","Cal State University, Sacramento"
899,Paige Swinney,So,5'11,"Sugar Land, Tx","Cal State University, Sacramento"
900,Sarah Falk,Fr,6'1,"Longmont, Co","Cal State University, Sacramento"
901,Sarah Davis,So,5'10,"Paradise Valley, Az","Cal State University, Sacramento"
902,Shannon Boyle,Sr,5'11,"Ridgefield, Wa","Cal State University, Sacramento"
903,Skyler Takeda,Jr,5'9,"Vacaville, Ca","Cal State University, Sacramento"
904,Amber Rose,Sr,6'0,"Cypress, Ca",Concordia
905,Asia O'Neil,So,5'7,"Rancho Mirage, Ca",Concordia
906,Avery Keathley,So,,"Watsonville, Ca",Concordia
907,Hailey Gaines,Sr,6'0,"Mission Viejo, Ca",Concordia
908,Jaclyn Brown,,,,Concordia
909,Jessica Diederich,Sr,,"Omaha, Ne",Concordia
910,Julia Denboer,,,,Concordia
911,Kekela Hendrickson,Fr,,,Concordia
912,Kersti Whitney,Sr,,,Concordia
913,Kyra Auten,Sr,6'0,"Northridge, Ca",Concordia
914,Marcela Frazzoni,Sr,5'10,"Santiago, Chile",Concordia
915,Riley Gill,Fr,,"Carlsbad, Ca",Concordia
916,Tristan Self,Sr,5'6,"Helmet, Ca",Concordia
917,Vanessa Bernzen,Fr,,,Concordia
918,Ashley Slay,Sr,5'11,"Nashville, Tn",Austin Peay State
919,Brooke Moore,Fr,5'10,"Louisville, Ky",Austin Peay State
920,Caroline Waite,Fr,5'9,"Knoxville, Tn",Austin Peay State
921,Cecily Gable,Jr,5'10,"Memphis, Tn",Austin Peay State
922,Chloe Stitt,Fr,5'8,"Summitville, Ind",Austin Peay State
923,Claire Darland,Fr,5'10,"Lexington, Ky",Austin Peay State
924,Ginny Gerig,So,5'5,"Towanda, Ill",Austin Peay State
925,Haley Turner,Fr,5'9,"Flagstaff, Az",Austin Peay State
926,Jenna Panning,So,6'1,"Columbus, Oh",Austin Peay State
927,Katelyn Theiss,Fr,5'10,"DeSoto, Mo",Austin Peay State
928,Kaylee Taff,Jr,6'0,"Houston, Tx",Austin Peay State
929,MiMi Arrington,So,5-8,"Yorktown, Ind",Austin Peay State
930,Nina Korfhage,Fr,5'4,"Louisville, Ky",Austin Peay State
931,Hannah Phillips,So,6'1,"Orient, Oh",UT Martin
932,Hayley Gray,Sr,6'0,"Watseka, Ill",UT Martin
933,Jemima Idemudia,Sr,6'2,"Glendale, Az",UT Martin
934,Kelly Lean,Sr,5'9,"Victoria, Australia",UT Martin
935,Macy Catlett,So,5'4,"St. Louis, Mo",UT Martin
936,Macy Reigelsperger,Sr,5'10,"Coldwater, Oh",UT Martin
937,Rachel Noffsinger,Sr,6'0,"Anna, Ohio",UT Martin
938,Sarah Shaw,Jr,5'11,"Collierville, Tn",UT Martin
939,Alyssa Cecil,Jr,5'7,"Cedar Park, Tx",Morehead State
940,Chandler Clark,So,5'9,"Seymour, Ind",Morehead State
941,Danielle McCarson,R-So,5'3,"Lagrange, Ky",Morehead State
942,Jessica  Hall,R-Jr,5'9,"Prestonburg, Ky",Morehead State
943,Jessie Wachtman,R-Jr,6'2,"Pickerington, Oh",Morehead State
944,Jordan Jones,Jr,6'3,"Blythewood, SC",Morehead State
945,Karlee Reynolds,So,6'3,"Plain City, Oh",Morehead State
946,Lauren Rokey,Fr,6'0,"Eureka, Ill",Morehead State
947,Liz Allen,So,5'11,"Stillwell, Kan",Morehead State
948,Maddie Fella,Jr,6'3,"Santa Claus, Ind",Morehead State
949,Olivia Lohmeier,Fr,6'0,"Cincinnati, Oh",Morehead State
950,Rachel Moore,,,,Morehead State
951,Taylor Hodges,Fr,5'8,"Floyds Knobs, In",Morehead State
952,Alejandra Negron,Fr,5'9,"Bayamon, Puerto Rico",CSULA
953,Alma Serna,Sr,6'4,"Mission Viejo, Ca",CSULA
954,Bailey Anderson,Fr,5'8,"Irvine, Ca",CSULA
955,Caitlyn Bato,So,5'2,"Rowland Heights, Ca",CSULA
956,Cynthia Giron,Jr,5'5,"Rancho Cucamonga, Ca",CSULA
957,Daisia LaBrie,Jr,5'11,"Riverside, Ca",CSULA
958,Daisy Portillo,Fr,6'2,"Duarte, Ca",CSULA
959,Daisy Crenshaw,Fr,6'2,"Los Angeles, Ca",CSULA
960,Erianna Williams,Jr,5'10,"Sacramento, Ca",CSULA
961,Janessa Mata,Fr,5'8,"San Diego, Ca",CSULA
962,Jeshmarie Suarez,Fr,5'3,"Bayamon, Puerto Rico",CSULA
963,Karla Santos,Fr,5'8,"Manati, Puerto Rico",CSULA
964,Kelsey Molnar,Sr,5'8,"Monrovia, Ca",CSULA
965,Michelle Boyd,Jr,5'6,"Sylmar, Ca",CSULA
966,Nicole Efseaff,Sr,5'7,"Chico, Ca",CSULA
967,Sifa Faaiu,Sr,5'11,"San Francisco, Ca",CSULA
968,Summer Hansen,Fr,6'2,"Corona, Ca",CSULA
969,Victoria Duarte,Fr,6'2,"Alta Loma, Ca",CSULA
970,Erin Umbel,Fr,5'9,"Helotes, Tx",Texas A&M; Kingsville
971,Gabby Atchley,So,6'0,"Concord, Ca",Texas A&M; Kingsville
972,Haley Hutchinson,Jr,6'1,"Georgetown, Tx",Texas A&M; Kingsville
973,Kadi Shipman,So,5'4,"Georgetown, Tx",Texas A&M; Kingsville
974,Kelby Sprinkles,So,5'10,"Little River, Tx",Texas A&M; Kingsville
975,Kylexus Block,Fr,5'8,"San Antonio, Tx",Texas A&M; Kingsville
976,Kyra Henderson,Sr,5'3,"Carlsbad, Ca",Texas A&M; Kingsville
977,Loren Washington,Jr,,"Round Rock, Tx",Texas A&M; Kingsville
978,Macy Berg,Fr,5'7,"San Antonio, Tx",Texas A&M; Kingsville
979,Madeleine  Sims,Sr,5'10,"Aztec, N.M.",Texas A&M; Kingsville
980,Madison Brabham,Jr,5'10,"Kingwood, Tx",Texas A&M; Kingsville
981,Malee Sowa,So,5'8,"Sealy, Tx",Texas A&M; Kingsville
982,Sarah  Miller,So,5'10,"Long Beach, Ca",Texas A&M; Kingsville
983,Shelby Tate,Fr,5'10,"New Braunfels, Tx",Texas A&M; Kingsville
984,Tenley Housler,Fr,5'10,"Bulverde, Tx",Texas A&M; Kingsville
985,Whitney Walker,Fr,5'9,"Bellingham, Wa",Texas A&M; Kingsville
986,Allie Kemp,Jr,5'4,"Tulsa, Ok",ULM
987,Bailey Smith,Jr,5'10,"Rockwell, Tx",ULM
988,Catherine Griffith,Jr,6'3,"Morrisville, N.C.",ULM
989,Gabby Love,Jr,5'10,"Fort Worth, Tx",ULM
990,Grace Convey,So,5'10,"Brisbane, Australia",ULM
991,Holland Ponthieux,So,5'9,"West Monroe, La",ULM
992,Kayla Gallant,Fr,,"Cambridge, Ontario",ULM
993,Maile Sellers,Fr,,"Oceanside, Ca",ULM
994,McKenna Webster,Fr,,"Longmont, Co",ULM
995,Rebecca Brown,GS,5'7,"Valrico, Fl",ULM
996,Taylor  Meyer,Fr,,"New Orleans, La",ULM
997,Brilee Henson,Fr,5'9,"Bronton, Mo",Missouri Baptist University
998,Caterina Cigarini,So,6'5,"Modena, Italy",Missouri Baptist University
999,Georgia Park,Fr,5'6,"Auckland, New Zealand",Missouri Baptist University
1000,Kamden Maas,Jr,5'6,"Carlsbad, Ca",Missouri Baptist University
1001,Kelly Wilson,So,6'1,"O'Fallon, Mo",Missouri Baptist University
1002,Kristen Williams,Jr,5'10,"Ironton, Mo",Missouri Baptist University
1003,Maggie Sorensen,Jr,6'1,"St Louis, Mo",Missouri Baptist University
1004,Mallory Moran,Jr,5'11,"St. Louis, Mo",Missouri Baptist University
1005,Marion Couraud,Sr,6'1,"Tourrettes sur du Loup, France",Missouri Baptist University
1006,Megan Williams,So,5'10,"Ironton, Mo",Missouri Baptist University
1007,Natalie Hecht,So,5'5,"St Louis, Mo",Missouri Baptist University
1008,Rachel Luebbers,Jr,5'6,"St Louis, Mo",Missouri Baptist University
1009,Rachel  Poole,So,5'10,"Marble Hill, Mo",Missouri Baptist University
1010,Sam Kurm,,,,Missouri Baptist University
1011,Sarah Wilson,Fr,5'6,"Desoto, Mo",Missouri Baptist University
1012,Sarah Bolton,So,5'5,"St Louis, Mo",Missouri Baptist University
1013,Amanda Burton,Jr,6'0,"Gilbert, Az",Benedictine
1014,Anokina Mirzapour,Sr,5'6,"San Jose, Ca",Benedictine
1015,Ariah Evans,Jr,6'0,"Phoenix, Az",Benedictine
1016,Benesia Rodriguez,So,5'3,"San Antonio, Tx",Benedictine
1017,Caitlan Sammons,So,5'7,"Chandler, Az",Benedictine
1018,Dani Burke,Jr,5'7,"Kennwick, Wa",Benedictine
1019,Destiny Ramirez,So,5'4,"Laveen, Az",Benedictine
1020,Hannah Marang,Sr,6'1,"Yakima, Wa",Benedictine
1021,Hayden Boucher,Fr,5'2,"Phoenix, Az",Benedictine
1022,Jackie Woods,Fr,5'11,"Menifee, Ca",Benedictine
1023,Kassandra Renteria,So,5'8,"Tanopah, Az",Benedictine
1024,Kat McCullough,Fr,5'7,"Queen Creek, Az",Benedictine
1025,Leosha Barker,R-Jr,6'0,"Phoenix, Az",Benedictine
1026,Lexi Fetui,Jr,5'8,"Las Vegas, Nv",Benedictine
1027,Madison Peters,Sr,5'9,"Avondale, Az",Benedictine
1028,Megan Block,Jr,6'0,"Scottsdale, Az",Benedictine
1029,Mikayla Flores,R-Fr,5'7,"Florence, Az",Benedictine
1030,Mykahla Smith,Fr,5'8,"Mesa, Az",Benedictine
1031,Pinkie Ranger,So,5'6,"Phoenix, Az",Benedictine
1032,Stephanie Burton,Sr,5'2,"Garden Grove, Ca",Benedictine
1033,Sydney Nelson,So,6'0,"Gilbert, Az",Benedictine
1034,Taylor Bradley,Jr,5'9,"Maricopa, Az",Benedictine
1035,Victoria  Prokic,So,6'1,"Sykesville, Md",Stevenson
1036,Annika Schwartz,Sr,5'10,"Damascus, Md",Stevenson
1037,Caroline Dangel,So,5'6,"Sykesville, Md",Stevenson
1038,Chelsea  Ireland,Jr,5'11,"Huntingtown, Md",Stevenson
1039,Darian Hileman,So,5'11,"Bristow, Va",Stevenson
1040,Emily Castro,So,5'9,"Whitehall, Pa",Stevenson
1041,Jessi Freeman,Fr,5'10,"Virginia Beach, Va",Stevenson
1042,Julie Nightwine,So,5'8,"Mechanicsburg, Pa",Stevenson
1043,Katie Leftridge,So,5'10,"Felton, Pa",Stevenson
1044,Katie McGuire,Sr,5'11,"Cornelius, N.C.",Stevenson
1045,Lauren Jan,Jr,5'10,"Bethesda, Md",Stevenson
1046,Lauren Weaver,Sr,5'10,"My Airy, Md",Stevenson
1047,Lizi Cudal,Fr,5'8,"Carlsbad, Ca",Stevenson
1048,Moriah Savage,Jr,5'9,"Owings Mill, Md",Stevenson
1049,Rysleigh Reeves,Fr,5'9,"Williamsburg, Va",Stevenson
1050,Sarah Riggin,Fr,5'4,"Sykesville, Md",Stevenson
1051,Sarah Manderson,Fr,6'0,"Davidsonville, Md",Stevenson
1052,Trang Christensen,So,5'6,"Mullica Hill, N.J.",Stevenson
1053,Alexia Jeangrand,Fr,,"North Vancouver, Canada",Principia
1054,Amanda Roberts,So,,"Alton, Ill",Principia
1055,Anna Webster,So,,"St Louis, Mo",Principia
1056,Cha Cha Fisher,Sr,,"Santa Barbara, Ca",Principia
1057,Devon Marunde,So,,"Mchenry, Ill",Principia
1058,Emelie Frederikson,GS,,"St Louis, Mo",Principia
1059,Emma Herman,Sr,,"Walnut Creek, Ca",Principia
1060,Jessica Bayne,Fr,,"Tequesta, Fl",Principia
1061,Leigh Weathers,Jr,,"Ballwin, Mo",Principia
1062,Libby Lewis,So,,"Chesterfield, Mo",Principia
1063,Makena Patterson,Jr,,"St Louis, Mo",Principia
1064,Mesa Goebel,So,,"Custer, S.D.",Principia
1065,Nikki Matters,So,,"Mount Prospect, Ill",Principia
1066,Sarah Ungerleider,Fr,,"Cherry Hill, N.J.",Principia
1067,Victoria Vandiver,So,,"St Louis, Mo",Principia
1068,Alexandra Gonzalez,Fr,5'7,"Miami, Fl",Warner
1069,Anna Baker,So,5'11,"Glen Ridge, NJ",Warner
1070,Ashley Kube,So,5'8,"Merritt Island, Fl",Warner
1071,Becca Bowlin,So,5'9,"Peoria, Ill",Warner
1072,Chelsea Forbes,Fr,5'7,"Jacksonville, Fl",Warner
1073,Cheyenne Miller,So,5'11,"Sarasota, Fl",Warner
1074,Keana Smalls,Jr,5'9,"Layton, Utah",Warner
1075,Madison Kleinmeier,Fr,5'9,"Dunedin, Fl",Warner
1076,Marissa Intoppa,Sr,5'8,"Lake Worth, Fl",Warner
1077,Shelby McCulley,Fr,5'8,"Orlando, Fl",Warner
1078,Sydney Ackermann,Fr,5'11,"Sanford, Fl",Warner
1079,Vanessa Boitnott,Jr,5'10,"West Palm Beach, Fl",Warner
1080,Abby Cash,GS,5'10,"New Carlisle, Oh",Lincoln Memorial
1081,Alicia Kessler,Fr,6'2,"Jackson Center, Oh",Lincoln Memorial
1082,Beka Wachob,So,5'8,"Milton, Fl",Lincoln Memorial
1083,Danielle Ged,Jr,5'10,"Smyrna, Tn",Lincoln Memorial
1084,Danielle Stachura,R-So,5'7,"Pleasant Prairie, Wi",Lincoln Memorial
1085,Erica Whiteaker,Jr,5'3,"Kingston Springs, Tn",Lincoln Memorial
1086,Hailey Lake,Fr,5'4,"New Port Richey, Fl",Lincoln Memorial
